id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1584248739 ,cbce4cc9-dc61-345e-9b4b-71870bfd93ed,  -20.342710 ,  -53.754670 ,2022-04-17 17:05:00,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado
 1584248773 ,3ca3f672-bbab-3417-ab80-0ee62e4dc8b8,  -20.605720 ,  -51.611760 ,2022-04-17 17:05:00,Brasil,MATO GROSSO DO SUL,TRÊS LAGOAS,Mata Atlântica
 1584354384 ,a5c86dc8-1b5a-3d71-84d7-1987784f9af4,  -18.448230 ,  -56.727560 ,2022-04-18 17:47:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1584354415 ,c3176dba-50a4-3791-87d5-a42747886caa,  -20.345380 ,  -53.759400 ,2022-04-18 17:47:00,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado
 1584651446 ,6d26cf9a-b9c6-337b-b2f7-dc1d53f26d8d,  -22.023510 ,  -53.203480 ,2022-04-21 16:39:00,Brasil,MATO GROSSO DO SUL,NOVA ANDRADINA,Cerrado
 1584651461 ,e2e2e41c-3db5-389e-8083-f26d97103445,  -22.023720 ,  -53.211600 ,2022-04-21 16:39:00,Brasil,MATO GROSSO DO SUL,NOVA ANDRADINA,Cerrado
 1584716133 ,58413a69-3e3f-377c-b1d0-b4c96c221d4a,  -22.480710 ,  -55.413130 ,2022-04-22 17:22:00,Brasil,MATO GROSSO DO SUL,PONTA PORÃ,Mata Atlântica
 1584716136 ,f03e6b33-f44e-3d22-adcf-9510dececb30,  -20.030410 ,  -52.599290 ,2022-04-22 17:22:00,Brasil,MATO GROSSO DO SUL,TRÊS LAGOAS,Cerrado
 1584716143 ,011c05fb-5fd5-3b4f-8034-ba86495f9661,  -22.477280 ,  -55.408560 ,2022-04-22 17:22:00,Brasil,MATO GROSSO DO SUL,PONTA PORÃ,Mata Atlântica
 1584716150 ,cfe1cca7-fcf8-30c5-82e3-c77936b791d5,  -19.575350 ,  -54.433430 ,2022-04-22 17:22:00,Brasil,MATO GROSSO DO SUL,BANDEIRANTES,Cerrado
 1584716176 ,7cdd06f1-7be5-3816-86f0-248543eed28e,  -22.283330 ,  -54.026920 ,2022-04-22 17:22:00,Brasil,MATO GROSSO DO SUL,IVINHEMA,Mata Atlântica
 1584716179 ,abbd6354-b0c5-39f6-8d91-1a8540e8defa,  -18.854350 ,  -52.245810 ,2022-04-22 17:22:00,Brasil,MATO GROSSO DO SUL,CASSILÂNDIA,Cerrado
