id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1666218611 ,ef6db57b-bbb1-340b-a8c9-1a6b127f49f4,  -19.996150 ,  -52.962580 ,2024-01-02 17:04:00,Brasil,MATO GROSSO DO SUL,ÁGUA CLARA,Cerrado
 1666218612 ,519d8991-fa1b-3353-97d3-0e29a8ec5b9d,  -19.585890 ,  -51.045030 ,2024-01-02 17:04:00,Brasil,MATO GROSSO DO SUL,PARANAÍBA,Mata Atlântica
 1666218613 ,bcc55272-e207-36a9-a854-86c3c26d7a94,  -19.582450 ,  -51.050170 ,2024-01-02 17:04:00,Brasil,MATO GROSSO DO SUL,PARANAÍBA,Mata Atlântica
 1666218614 ,13c6fbb9-f451-358c-8cbe-1353c0d469c9,  -19.531990 ,  -50.978290 ,2024-01-02 17:04:00,Brasil,MATO GROSSO DO SUL,PARANAÍBA,Mata Atlântica
 1666440792 ,9e04ae31-2423-3a22-9633-e261174372ba,  -19.683050 ,  -56.430740 ,2024-01-04 18:28:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 1666547569 ,bf81acf9-c2ac-33a7-a565-47a15f7425da,  -23.691820 ,  -54.778240 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,TACURU,Mata Atlântica
 1666547570 ,57c6db7d-5fb0-3914-8229-e7eb666fd675,  -23.447080 ,  -54.650450 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,IGUATEMI,Mata Atlântica
 1666547571 ,14d5fc69-f12f-317d-ad67-c02de0737e2d,  -23.018670 ,  -55.162440 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,AMAMBAI,Mata Atlântica
 1666547573 ,1b5a7db8-ce28-3aa3-add9-0b57fbf8b8db,  -22.433880 ,  -54.753010 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,CAARAPÓ,Mata Atlântica
 1666547574 ,cc01c706-3c1b-3e8c-a662-f2d7dbe5581a,  -22.416100 ,  -54.983810 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,LAGUNA CARAPÃ,Mata Atlântica
 1666547575 ,dd07547f-f0c1-3657-9563-166690f73020,  -22.145900 ,  -53.995410 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,ANGÉLICA,Mata Atlântica
 1666547576 ,759ebfd6-7ff0-3f8d-b1da-8ad63bbce56e,  -21.860010 ,  -54.082780 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Mata Atlântica
 1666547577 ,85b435ab-c4df-3721-b0c4-164d610b3930,  -21.842110 ,  -53.928500 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,Cerrado
 1666547578 ,06757187-b6bd-319b-8585-38f00e5f2f06,  -21.642980 ,  -55.170980 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,MARACAJU,Cerrado
 1666547579 ,04594c67-28a8-3837-8623-fbd65cae9b8c,  -21.477610 ,  -54.324700 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,Cerrado
 1666547580 ,3908ad51-bcac-3c46-b299-496b92a4d91c,  -21.460360 ,  -54.475660 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,Cerrado
 1666547581 ,2783a392-f59b-3983-9b82-b90e0f4d8963,  -21.167670 ,  -54.716520 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,SIDROLÂNDIA,Cerrado
 1666547583 ,2d222cb7-2b76-3de9-8a15-8943fc3e8012,  -20.488810 ,  -53.884030 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado
 1666547584 ,66b1ec17-78a6-3294-a431-4c20d36ae94d,  -20.394270 ,  -54.923820 ,2024-01-05 17:28:00,Brasil,MATO GROSSO DO SUL,TERENOS,Cerrado
 1666547586 ,ef0a3e01-034e-3e75-9ff7-a53be3486333,  -20.224780 ,  -56.837050 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,MIRANDA,Cerrado
 1666547587 ,9c8f2e56-d382-3afc-9164-608b6ffadbfd,  -19.839090 ,  -55.794520 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 1666547588 ,c5832167-2eb6-3316-9bfa-97fd6fdf1908,  -19.446190 ,  -55.657320 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 1666547589 ,0ea95076-945d-394e-85be-7cfc047989c0,  -19.423860 ,  -55.096530 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,RIO NEGRO,Cerrado
 1666547590 ,a46d1700-49ef-33d4-b3be-36a19c4f140c,  -19.403170 ,  -55.606730 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 1666547591 ,24e9eec9-9b2e-36e5-8053-1d703dd9b86a,  -19.385320 ,  -57.489210 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1666547592 ,e5ec2e43-fc93-3ad3-aa98-9593d3cce42c,  -19.008510 ,  -57.664820 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1666547594 ,8b9247bd-b625-345b-ad56-59436daf8d79,  -18.598600 ,  -56.064610 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1666547595 ,26c8be0b-6768-311a-9dc4-f58c3c48f4cd,  -18.499700 ,  -55.094310 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal
 1666547599 ,f94c46aa-ff94-336c-947f-3d2522d1b317,  -18.237460 ,  -55.297290 ,2024-01-05 17:30:00,Brasil,MATO GROSSO DO SUL,COXIM,Pantanal
 1666954467 ,1672fe66-3b59-33b1-a164-c13319700454,  -18.207500 ,  -54.497020 ,2024-01-08 17:58:00,Brasil,MATO GROSSO DO SUL,COXIM,Cerrado
 1666954425 ,05d834df-3025-3add-a171-56bc7fbd3cab,  -23.593880 ,  -54.763600 ,2024-01-08 17:53:00,Brasil,MATO GROSSO DO SUL,TACURU,Mata Atlântica
 1666954426 ,302b4139-ee36-3676-b86f-bc28fc0cc638,  -23.242510 ,  -54.202520 ,2024-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica
 1666954429 ,aa442c9d-16a6-3eab-9016-8cae066e1bea,  -23.013720 ,  -54.336910 ,2024-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica
 1666954431 ,ef3409b4-6f9f-35e3-841e-49e7bef9b719,  -22.703660 ,  -53.931050 ,2024-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,JATEÍ,Mata Atlântica
 1666954432 ,d7ebd6aa-a786-3685-b38c-3d00cb0e5a8f,  -22.504180 ,  -53.490360 ,2024-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,NOVA ANDRADINA,Mata Atlântica
 1666954433 ,ff9a58b8-6c57-3baa-bd99-ec76538fbff6,  -22.436800 ,  -54.602630 ,2024-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,CAARAPÓ,Mata Atlântica
 1666954434 ,4aed417d-b9d7-3724-8b53-8ed27f055a22,  -22.385210 ,  -55.064970 ,2024-01-08 17:56:00,Brasil,MATO GROSSO DO SUL,PONTA PORÃ,Mata Atlântica
