id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 62820522 ,57210e26-5abb-11e8-911c-28924ad12c5c,  -17.849000 ,  -56.306000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 62820482 ,57210e23-5abb-11e8-911c-28924ad12c5c,  -19.491000 ,  -56.896000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 62820474 ,57210e1c-5abb-11e8-911c-28924ad12c5c,  -19.493000 ,  -55.311000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 62820473 ,57210e1b-5abb-11e8-911c-28924ad12c5c,  -17.804000 ,  -55.237000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 62820472 ,57210e1a-5abb-11e8-911c-28924ad12c5c,  -17.946000 ,  -55.873000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 62820343 ,57210e12-5abb-11e8-911c-28924ad12c5c,  -21.863000 ,  -53.297000 ,2011-07-06 17:19:00,Brasil,MATO GROSSO DO SUL,NOVA ANDRADINA,Cerrado
 62820381 ,398e5470-5abb-11e8-911c-28924ad12c5c,  -20.111000 ,  -55.994000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 62820370 ,398e546d-5abb-11e8-911c-28924ad12c5c,  -19.492000 ,  -55.301000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 62820367 ,398e546a-5abb-11e8-911c-28924ad12c5c,  -18.377000 ,  -54.186000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,COXIM,Cerrado
 62820363 ,398e5466-5abb-11e8-911c-28924ad12c5c,  -21.940000 ,  -55.831000 ,2011-07-06 17:19:00,Brasil,MATO GROSSO DO SUL,PONTA PORÃ,Cerrado
 62820358 ,398e5461-5abb-11e8-911c-28924ad12c5c,  -22.287000 ,  -55.030000 ,2011-07-06 17:19:00,Brasil,MATO GROSSO DO SUL,DOURADOS,Mata Atlântica
 62820351 ,398e545a-5abb-11e8-911c-28924ad12c5c,  -21.939000 ,  -55.819000 ,2011-07-06 17:19:00,Brasil,MATO GROSSO DO SUL,PONTA PORÃ,Cerrado
 62820349 ,398e5458-5abb-11e8-911c-28924ad12c5c,  -22.580000 ,  -54.946000 ,2011-07-06 17:19:00,Brasil,MATO GROSSO DO SUL,CAARAPÓ,Mata Atlântica
 62820572 ,5eda1a15-5abb-11e8-911c-28924ad12c5c,  -18.376000 ,  -54.176000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,COXIM,Cerrado
 62820571 ,5eda1a14-5abb-11e8-911c-28924ad12c5c,  -19.547000 ,  -55.968000 ,2011-07-06 17:20:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
