id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 51888229 ,30e3e715-5abb-11e8-911c-28924ad12c5c,  -19.979000 ,  -57.589000 ,2009-09-24 18:24:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51888227 ,30e3e713-5abb-11e8-911c-28924ad12c5c,  -21.316000 ,  -57.107000 ,2009-09-24 18:24:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Cerrado
 51908587 ,56c24ace-5abb-11e8-911c-28924ad12c5c,  -19.414000 ,  -57.118000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908586 ,56c24acd-5abb-11e8-911c-28924ad12c5c,  -18.236000 ,  -56.260000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908585 ,56c24acc-5abb-11e8-911c-28924ad12c5c,  -19.631000 ,  -57.537000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908549 ,56c24ac1-5abb-11e8-911c-28924ad12c5c,  -18.994000 ,  -57.264000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908544 ,56c24abe-5abb-11e8-911c-28924ad12c5c,  -19.422000 ,  -57.106000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908364 ,56c24ab5-5abb-11e8-911c-28924ad12c5c,  -19.567000 ,  -56.817000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908354 ,56c24aad-5abb-11e8-911c-28924ad12c5c,  -19.182000 ,  -57.454000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908335 ,56c24aa6-5abb-11e8-911c-28924ad12c5c,  -18.905000 ,  -55.535000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908333 ,56c24aa4-5abb-11e8-911c-28924ad12c5c,  -19.423000 ,  -57.116000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908309 ,56c24aa1-5abb-11e8-911c-28924ad12c5c,  -18.777000 ,  -57.084000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908298 ,56c24a9e-5abb-11e8-911c-28924ad12c5c,  -17.829000 ,  -57.686000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908294 ,56c24a9c-5abb-11e8-911c-28924ad12c5c,  -19.121000 ,  -57.458000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908293 ,56c24a9b-5abb-11e8-911c-28924ad12c5c,  -18.546000 ,  -54.067000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,FIGUEIRÃO,Cerrado
 51908236 ,56c24a91-5abb-11e8-911c-28924ad12c5c,  -19.984000 ,  -57.605000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908082 ,56c24a72-5abb-11e8-911c-28924ad12c5c,  -20.729000 ,  -57.708000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal
 51908012 ,56c24a5e-5abb-11e8-911c-28924ad12c5c,  -20.413000 ,  -57.939000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908011 ,56c24a5d-5abb-11e8-911c-28924ad12c5c,  -20.371000 ,  -57.928000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908010 ,56c24a5c-5abb-11e8-911c-28924ad12c5c,  -21.075000 ,  -53.867000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CAMPO GRANDE,Cerrado
 51908009 ,56c24a5b-5abb-11e8-911c-28924ad12c5c,  -20.420000 ,  -57.914000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908007 ,56c24a59-5abb-11e8-911c-28924ad12c5c,  -20.369000 ,  -57.916000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51907988 ,56c24a55-5abb-11e8-911c-28924ad12c5c,  -19.979000 ,  -57.572000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908020 ,30e60e89-5abb-11e8-911c-28924ad12c5c,  -20.412000 ,  -57.927000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908580 ,30e60ef5-5abb-11e8-911c-28924ad12c5c,  -18.925000 ,  -55.541000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908417 ,30e60ece-5abb-11e8-911c-28924ad12c5c,  -17.830000 ,  -57.697000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908415 ,30e60ecc-5abb-11e8-911c-28924ad12c5c,  -19.259000 ,  -57.337000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908494 ,2362b2c4-5abb-11e8-911c-28924ad12c5c,  -19.003000 ,  -57.263000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908155 ,2362b2bf-5abb-11e8-911c-28924ad12c5c,  -19.606000 ,  -55.882000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 51908154 ,2362b2be-5abb-11e8-911c-28924ad12c5c,  -19.970000 ,  -57.573000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908153 ,2362b2bd-5abb-11e8-911c-28924ad12c5c,  -19.971000 ,  -57.584000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908152 ,2362b2bc-5abb-11e8-911c-28924ad12c5c,  -19.789000 ,  -57.520000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908049 ,2362b2b5-5abb-11e8-911c-28924ad12c5c,  -20.396000 ,  -57.797000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908048 ,2362b2b4-5abb-11e8-911c-28924ad12c5c,  -19.594000 ,  -55.864000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal
 51908047 ,2362b2b3-5abb-11e8-911c-28924ad12c5c,  -20.336000 ,  -57.896000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908446 ,8b0c49c4-5abb-11e8-911c-28924ad12c5c,  -17.567000 ,  -56.346000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908413 ,8b0c49c3-5abb-11e8-911c-28924ad12c5c,  -18.923000 ,  -55.532000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908411 ,8b0c49c1-5abb-11e8-911c-28924ad12c5c,  -18.547000 ,  -54.077000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,FIGUEIRÃO,Cerrado
 51908410 ,8b0c49c0-5abb-11e8-911c-28924ad12c5c,  -18.806000 ,  -56.871000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908401 ,8b0c49bf-5abb-11e8-911c-28924ad12c5c,  -19.005000 ,  -57.274000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908150 ,8b0c49b7-5abb-11e8-911c-28924ad12c5c,  -20.424000 ,  -57.781000 ,2009-09-25 17:29:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 51908620 ,105b4f15-5abb-11e8-911c-28924ad12c5c,  -19.111000 ,  -57.459000 ,2009-09-25 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
