id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1615033251 ,440c800f-92f7-3e42-acad-28d1707d4416,  -17.637580 ,  -54.782250 ,2023-01-02 17:11:00,Brasil,MATO GROSSO DO SUL,SONORA,Cerrado
 1615033252 ,6873f0e1-3198-3fda-b1cd-f1edbfa88e4e,  -18.225610 ,  -56.388000 ,2023-01-02 17:11:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1615033253 ,f9a03121-98f1-361e-b081-b77ee07a42f9,  -18.443240 ,  -56.729250 ,2023-01-02 17:11:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1615383324 ,c842d74c-4eeb-3d65-94cd-7e4001e05990,  -22.381020 ,  -54.511760 ,2023-01-05 17:38:00,Brasil,MATO GROSSO DO SUL,FÁTIMA DO SUL,Mata Atlântica
 1615383326 ,2c3d017a-79bd-3b99-b21d-b74b596fed12,  -21.846520 ,  -56.396720 ,2023-01-05 17:38:00,Brasil,MATO GROSSO DO SUL,BELA VISTA,Cerrado
 1615383327 ,d95fa362-e2e5-3bdb-a40c-e7463d444a01,  -23.761040 ,  -54.497510 ,2023-01-05 17:38:00,Brasil,MATO GROSSO DO SUL,JAPORÃ,Mata Atlântica
 1615618804 ,57401cf0-329a-3813-ae6f-c097286c6d82,  -21.826560 ,  -56.779370 ,2023-01-07 17:26:00,Brasil,MATO GROSSO DO SUL,BELA VISTA,Cerrado
 1615618806 ,aaf1b3c9-f42e-31d3-8d19-5ac0d0987441,  -21.828250 ,  -56.793640 ,2023-01-07 17:26:00,Brasil,MATO GROSSO DO SUL,BELA VISTA,Cerrado
 1615618807 ,28e2aad0-d08f-3d92-a5cd-987577070255,  -21.839040 ,  -56.792240 ,2023-01-07 17:26:00,Brasil,MATO GROSSO DO SUL,BELA VISTA,Cerrado
 1615618809 ,d408c2b1-1da5-35fa-9889-39f49ce477ea,  -21.840750 ,  -56.806660 ,2023-01-07 17:26:00,Brasil,MATO GROSSO DO SUL,BELA VISTA,Cerrado
 1615619007 ,4153debf-d17d-3f68-9e02-0758b77c9dd5,  -18.068860 ,  -54.744910 ,2023-01-07 17:26:00,Brasil,MATO GROSSO DO SUL,COXIM,Cerrado
 1615619008 ,6a9a141c-ce14-3281-8bca-34cd0bac034e,  -19.782820 ,  -57.073100 ,2023-01-07 17:26:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
 1615732417 ,2ccfcd85-c443-3783-a1ad-feda3aa1f0be,  -18.184300 ,  -56.364400 ,2023-01-08 18:10:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal
